epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9082,1.60409,3.08252,2.12179,0.21862,0.65366,0.34156,0.17571,1.75591,6.75706,2.93782,0.0002,0.0002,0.0002
2,70.4489,1.33023,1.89825,1.72046,0.51896,0.5681,0.48792,0.20925,2.10586,5.15559,3.10637,0.000404332,0.000404332,0.000404332
3,96.9644,1.34383,1.76248,1.75401,0.14746,0.35385,0.16596,0.07177,2.0079,9.71195,3.05014,0.00060025,0.00060025,0.00060025
4,122.731,1.41559,1.62595,1.82913,0.48315,0.6368,0.50664,0.18299,1.92592,2.14518,2.98913,0.000787752,0.000787752,0.000787752
5,147.606,1.33463,1.47065,1.73729,0.64565,0.22896,0.18077,0.06997,2.10001,5.67326,3.60573,0.00096684,0.00096684,0.00096684
6,171.087,1.39545,1.55598,1.78985,0.48545,0.24705,0.19181,0.07385,2.26927,6.5858,3.46462,0.00112625,0.00112625,0.00112625
7,195.554,1.32027,1.45304,1.70719,0.40598,0.4759,0.39511,0.12121,2.41596,3.61678,4.04411,0.0011015,0.0011015,0.0011015
8,220.545,1.33733,1.38479,1.73432,0.72563,0.63401,0.57879,0.22465,2.07054,2.43871,3.53099,0.00107675,0.00107675,0.00107675
9,244.944,1.33126,1.36432,1.7458,0.42031,0.4827,0.3842,0.1835,1.87484,1.80861,3.20011,0.001052,0.001052,0.001052
10,268.265,1.32646,1.34525,1.7104,0.56669,0.54272,0.50126,0.2056,1.80899,2.3681,2.9963,0.00102725,0.00102725,0.00102725
11,293.025,1.25049,1.18883,1.66608,0.68291,0.58256,0.62712,0.32505,1.49834,1.9213,2.37576,0.0010025,0.0010025,0.0010025
12,316.152,1.33819,1.25584,1.74315,0.52977,0.70149,0.66107,0.32937,1.56475,2.55035,2.45779,0.00097775,0.00097775,0.00097775
13,338.755,1.32835,1.27502,1.72222,0.77022,0.69017,0.6772,0.34239,1.72021,1.68048,2.64569,0.000953,0.000953,0.000953
14,360.841,1.24884,1.17643,1.64952,0.81013,0.68092,0.81655,0.44676,1.4153,1.13687,2.264,0.00092825,0.00092825,0.00092825
15,382.751,1.22484,1.06191,1.61249,0.79184,0.69988,0.78246,0.3613,1.72072,1.2803,2.60137,0.0009035,0.0009035,0.0009035
16,403.655,1.19313,1.06969,1.61358,0.73364,0.67164,0.68756,0.34674,1.57393,1.66992,2.49347,0.00087875,0.00087875,0.00087875
17,424.495,1.26493,1.1318,1.68289,0.70062,0.77733,0.78448,0.42411,1.61363,1.02738,2.43215,0.000854,0.000854,0.000854
18,447.84,1.24588,1.08179,1.61418,0.74892,0.75492,0.83015,0.42817,1.57316,1.21227,2.45774,0.00082925,0.00082925,0.00082925
19,470.907,1.23051,1.09088,1.61425,0.84306,0.75084,0.79753,0.43514,1.49802,1.63051,2.33863,0.0008045,0.0008045,0.0008045
20,494.26,1.19858,1.05896,1.60351,0.71089,0.80359,0.80391,0.44953,1.43469,1.26276,2.18289,0.00077975,0.00077975,0.00077975
